||CourseNumber|CourseName|Major|Concentration|QuarterOffered|TimeOffered|Online|Prereqs
||TDC511|Telecommunications Practicum|||Fall, Spring||Yes|TDC411 and TDC460 and TDC 463
||TDC512|Cellular and Wireless Telecommunications|||Fall||Yes|TDC464
||TDC560|Advanced Network Technologies and Design|||Winter||Yes|TDC460 and TDC463
||TDC562|Computer-Communication Network Design and Analysis|||Winter||Yes|TDC463
||TDC563|Protocols and Techniques for Data Networks|||Fall, Spring||Yes|TDC463
||TDC568|Network Management|||Spring||Yes|TDC463
||TDC577|Network Security II|||Fall, Spring||Yes|TDC477
||TDC593|Topics in Network Engineering and Security|||Winter||No|None
||TDC594|Network Capstone|||Spring||Yes|TDC477 and TDC511
||TDC599|Independent Study|||Fall, Winter, Spring, Summer||No|None
||TDC696|Master's Project|||Fall, Winter, Spring, Summer||No|Advisor Consent
||TDC698|Master's Thesis|||Fall, Winter, Spring, Summer||No|Advisor Consent
||CSC421|Applied Algorithms and Structures|||Fall, Winter, Spring||Yes|CSC400 and CSC403
||CSC431|Scientific Computing|||Winter||Yes|CSC401 and two quarters of Calculus
||CSC435|Distributed Systems I|||Fall, Winter, Spring||Yes|CSC403 and CSC407
||CSC436|Web Applications|||Fall||Yes|CSC435 and CSC447
||CSC438|Framework for Web Application Development|||Fall||Yes|CSC407
||CSC439|Computer Security|||Winter||Yes|CSC407
||CSC440|Cryptology|||Winter||Yes|CSC403
||CSC443|Introduction to Operating Systems|||Fall||Yes|CSC403 and CSC407
||CSC447|Concepts of Programming Languages|||Fall, Winter, Spring||Yes|CSC403 and CSC406
||CSC448|Compiler Design|||Fall||Yes|CSC447
||CSC451|Database Design for Information Systems|||||Yes|None
||CSC452|Database Programming|||Fall, Winter, Spring, Summer||Yes|(CSC453 or CSC451 or CSC455) and (CSC401 or IT411)
||CSC453|Database Technologies|||Fall, Winter, Spring||Yes|CSC403
||CSC454|Database Administration and Management|||Winter, Summer||Yes|CSC451 or CSC453 or CSC455
||CSC458|Symbolic Programming|||Winter||Yes|CSC403
||CSC461|Optimized C++|||Fall, Spring||Yes|CSC400 and CSC403 and CSC406
||CSC462|Optimized C++ Multithreading|||Fall, Spring||Yes|GAM491 or CSC461
||CSC471|Mobile Application Development for iOS|||Winter||Yes|CSC403 and CSC407
||CSC472|Mobile Application Development for Android|||Fall||Yes|CSC403 and CSC407
||CSC475|Introduction to Robotics|||Fall, Winter||No|CSC407
||CSC480|Artificial Intelligence I|||Spring, Winter||Yes|CSC403
||CSC481|Introduction to Image Processing|||Fall||Yes|CSC412
||CSC482|Applied Image Analysis|||Winter||Yes|CSC481
||CSC486|Real-Time Networking|||Spring||Yes|CSC461 and (SE456 or SE450)
||CSC489|Theory of Computation|||Fall||Yes|CSC444 or CSC421
||CSC491|Mobile Application Development for iOS II|||Spring||Yes|CSC471
||CSC500|Research Colloquium|||Fall, Winter, Spring||Yes|None
||CSC521|Monte Carlo Algorithms |||Spring||Yes|(CSC402 or CSC404) and CSC423
||CSC525|Combinatorial Optimization|||Winter||Yes|CSC421
||CSC536|Distributed Systems II|||Spring||Yes|CSC435
||CSC543|Spatial Databases and Geographic Information Systems|||Spring||Yes|CSC453 or CSC455
||CSC552|Concurrent Software Development|||Fall||Yes|SE450 and CSC407
||CSC553|Advanced Database Concepts|||Winter||Yes|CSC453
||CSC554|Advanced Database Management|||Spring||Yes|CSC453 or CSC454
||CSC555|Mining Big Data|||Fall, Spring, Winter||Yes|(CSC401 and (CSC453 or DSC450) and (DSC441 or DSC478)) or (MAT491 and MAT449)
||CSC559|Software Engineering for Financial Markets|||Fall||Yes|CSC404 and (CSC431 or CSC5321 or CSC425)
||CSC575|Intelligent Information Retrieval |||Winter||Yes|SC403
||CSC576|Computational Advertising|||Winter||Yes|IS467 or CSC478 or ECT584
||CSC577|Recommender Systems|||Winter, Spring||Yes|(CSC412 and CSC478) or (CSC403 an IS467)
||CSC578|Neural Networks and Deep Learning|||Fall||Yes|(CS412 and DSC478) or (CSC403 and DSC441)
||CSC587|Cognitive Science|||Winter||Yes|CSC403 or HCI460
||CSC588|Real-Time Multithreaded Architecture|||Spring||Yes|CSC461 and (SE456 or SE450)
||CSC594|Topics in Artificial Intelligence|||Spring||Yes|None
||CSC595|Topics in Computer Science|||Fall||Yes|None
||CSC599|Independent Study|||Spring||No|None
||CSC695|Master's Research|||Fall, Winter, Spring, Summer||No|Foundation Courses Completion and Advisor Consent
||CSC696|Master's Research|||Fall, Winter, Spring, Summer||No|CSC695
||CSC697|Graduate Internship|||Fall, Winter, Spring, Summer||No|Instructor Consent
||CSC698|Master's Thesis|||Fall, Winter, Spring|||Committee Consent
||CSC699|Research|||Fall, Winter, Spring||No|Instructor Consent
||IT411|Scripting for Interactive Systems|||Fall, Winter, Spring||Yes|None
||IT403|Statistics and Data Analysis|||Fall, Winter, Spring, Winter||Yes|None
||IPD451|Big Data and NoSQL Program|||Fall, Winter, Spring||Yes|Instructor Consent
||MGT500|Managing for Effective and Ethical Organizational Behavior|||Fall, Winter, Spring, Summer||Yes|None
